发布日期,省,市,区,物资需求机构,捐赠地址,公告标题,N95口罩,医用外科口罩,一次性医用口罩,防护服,一次性医用帽,护目镜,防冲击眼罩,防护面罩,医用一次性乳胶手套,一次性手术衣,84消毒液,医用酒精,联系人/联系方式,来源网址,来源网站,是否政府网站
2020-01-31,河南省,,,河南省人民医院,河南省人民医院,河南省人民医院接受社会捐赠公告,1,1,,1,,,,1,,,,,赵德政:13837169390  王亚东:18860376897,"=HYPERLINK(""https://www.hnsrmyy.net/NewsDetail-18213.html"")",www.hnsrmyy.net,否
2020-01-31,广东省,清远市,佛冈县,佛冈县人民医院,佛冈县人民医院,佛冈县人民医院接受社会捐赠公告,1,1,,1,,,,1,,,,,手机:13926695043,"=HYPERLINK(""http://www.fogang.gov.cn/fgzx/fgyw/content/post_987669.html"")",,是
2020-01-31,山西省,太原市,迎泽区,山西医科大学第一医院,太原市迎泽区解放南路85号,山西医科大学第一医院接受社会捐赠公告,1,1,,1,,1,,1,1,1,,,0351-3580559、0351-4639014,"=HYPERLINK(""http://www.sxmu.edu.cn/info/1051/17065.htm"")",山西医科大学,否
2020-01-31,宁夏回族自治区,银川市,永宁县,疫情工作领导小组,永宁县杨和街230号永宁县人民政府212办公室,永宁县接受社会捐赠公告,1,1,,1,,,1,1,,,,1,王建国:13909573965,"=HYPERLINK(""http://www.nxyn.gov.cn/jryn/ynyw/202001/t20200131_1936679.html"")",永宁县人民政府,是
2020-01-31,四川省,成都市,武侯区,三六三医院,成都市武侯区倒桑树街108号三六三医院,疫情一线：三六三医院接受社会爱心捐赠公告,1,1,,1,,,,1,,,,,王老师:15882457363  吕老师:18181900395,"=HYPERLINK(""http://www.cannews.com.cn/2020/0131/207963.shtml"")",中国航空新闻网_航空行业第一新闻门户_CANNEWS,否
2020-01-30,陕西省,汉中市,汉台区,应急指挥部办公室,汉中市汉台区天汉大道953号汉中市疾病预防控制中心院内,"""接受捐赠公告",1,1,1,1,,,1,1,1,,,,中心）:13891686168  勤组）:13891601166,"=HYPERLINK(""http://www.sanqin.com/2020-01/30/content_8147478.html"")",三秦网_国家一类新闻网站,否
2020-01-30,陕西省,汉中市,汉台区,"汉中市新型冠状病毒感染的肺炎
疫情防控应急指挥部办公室",汉中市汉台区天汉大道953号汉中市疾病预防控制中心院内,接受捐赠公告,1,1,1,1,,,1,1,1,,,,中心）:13891686168  勤组）:13891601166,"=HYPERLINK(""http://www.hanzhong.gov.cn/xwzx/gsgg/202001/t20200131_628091.html"")",汉中市人民政府,是
2020-01-30,陕西省,商洛市,镇安县,镇安县红十字会,镇安县红十字会（政府院内）,镇安县红十字会关于开展防控新型冠状病毒感染肺炎的募捐公告 - 镇安县人民政府,1,1,,1,,1,,1,,,1,,0914-5328585,"=HYPERLINK(""http://www.zazf.gov.cn/gk/bmgk09/84748.htm"")",镇安县人民政府 - 中国·镇安,是
2020-01-30,重庆市,重庆市,北碚区,重庆市北碚区卫生健康委员会,北碚区冯时行路298号（重庆市北碚区卫生健康委员会）,重庆市北碚区卫生健康委员会接受爱心捐赠公告,1,1,1,1,,1,,1,1,,,1,曾禾渝:15213293302  洪亮:13330338248,"=HYPERLINK(""http://www.beibei.gov.cn/publicity_qwsjkw/gzdt/gggs/61049"")",重庆市北碚区人民政府,是
2020-01-30,辽宁省,锦州市,北镇市,领导小组办公室,领导小组办公室,关于北镇市疫情防控接受社会爱心捐赠公告,1,1,,1,,1,,,,1,1,,0416-6622534,"=HYPERLINK(""http://www.bzs.gov.cn/xxgk/tz/2020-01-31/18358.html"")",北镇市人民政府网站 - 首页,是
2020-01-30,辽宁省,锦州市,凌海市,凌海市红十字会,凌海市卫健局一楼（凌海市国庆路75号妇幼保健站）,凌海市红十字会接收社会捐赠公告,1,1,,1,1,1,,1,1,,1,,佟达:13154245555,"=HYPERLINK(""http://www.lnlh.gov.cn/newsinfo11041.html"")",凌海市人民政府网,是
2020-01-30,辽宁省,铁岭市,开原市,开原市红十字会,开原市文化路91号,开原市红十字会接受社会捐赠公告,1,1,,1,,1,,1,,1,1,,寇国富:18341032229,"=HYPERLINK(""http://www.lnky.gov.cn/tlkys/mlky/871692/index.html"")",提示,是
2020-01-30,辽宁省,辽阳市,文圣区,文圣区红十字会,文圣区衍水大街38号（区便民服务大厅民政窗口）,文圣区红十字会倡议书-通知公告-辽阳市文圣区人民政府,1,1,,1,1,1,,1,1,,,,手机:13841938846,"=HYPERLINK(""http://www.wensheng.gov.cn/html/LYWSQ/202001/158035236083284.html"")",辽阳市文圣区人民政府,是
2020-01-30,辽宁省,本溪市,明山区,疫情防控指挥部,本溪市明山区唐家路2号，联系人,明山区接受社会捐赠公告,1,1,,1,1,1,,1,1,,,,茂全:15241449996,"=HYPERLINK(""http://www.mingshan.gov.cn/xwzx/msyw/content_436752"")",本溪市明山区人民政府,是
2020-01-30,贵州省,黔东南苗族侗族自治州,施秉县,施秉县红十字会,施秉县政务服务中心四楼县红十字会办公室,施秉县红十字会接收社会捐赠公告,1,1,,1,1,1,,1,,,1,,0855-4225496,"=HYPERLINK(""http://www.qdnsb.gov.cn/xwzx/tzgg/202001/t20200130_46072768.html"")",施秉县人民政府门户网站,是
2020-01-30,贵州省,遵义市,凤冈县,凤冈县红十字会,凤冈县红十字会,凤冈县红十字会接收社会捐赠公告,1,1,,1,1,1,,1,,,1,,肖晔:13595254818  杨军:15120251941,"=HYPERLINK(""http://www.gzfenggang.gov.cn/xxgk/zwxxgk/xxgkml/zdlxx/tzgg/202001/t20200130_46124277.html"")",凤冈县人民政府门户网站,是
2020-01-30,福建省,漳州市,诏安县,诏安县应对新型冠状病毒感染的肺炎防控工作领导小组,诏安县南诏镇康华路51号疾控中心二楼,诏安县关于接收捐赠款物的公告,1,1,,1,,1,,1,,,,,0596-3381296,"=HYPERLINK(""http://www.zhaoan.gov.cn/cms/html/zaxrmzf/2020-01-30/555749517.html"")",漳州市诏安县人民政府,是
2020-01-30,福建省,三明市,永安市,永安市红十字会,永安市红十字会,永安市红十字会接收社会捐赠的公告,1,1,,1,1,1,,1,,,1,,0598-3631079,"=HYPERLINK(""http://www.ya.gov.cn/zwgk/tzgg/gggs/202001/t20200130_1470375.htm"")",永安市人民政府,是
2020-01-30,甘肃省,陇南市,西和县,西和县人民医院,中国，甘肃省陇南市西和县中山北路西和县人民医院（邮编,西和人民医院接受社会爱心捐赠的公告,1,1,1,1,,,1,1,,,1,,):13830979728,"=HYPERLINK(""http://www.xihe.gov.cn/zwzx/bmdt/22559.html"")",西和县人民政府,是
2020-01-30,甘肃省,白银市,会宁县,会宁县红十字会,会宁县会师镇现代路嘉禾大厦1311室,会宁县红十字会呼吁接收社会捐赠的公告,1,1,,1,,1,,,,,,,占龙:15193089898,"=HYPERLINK(""http://www.huining.gov.cn/html/xwzx/gggs/202001/31704.html"")",会宁县人民政府,是
2020-01-30,甘肃省,张掖市,高台县,高台县红十字会,高台县湿地新区卫生健康局综合楼3楼（县红十字会办公室）,高台县卫生健康局、高台县红十字会联合呼吁接收社会捐赠的公告,1,1,,1,,1,,,,,,,0936-6621726、0936-6677526,"=HYPERLINK(""http://www.gaotai.gov.cn/zw/zfxxgkml/tzgg/202001/t20200130_377577.html"")",甘肃高台网-高台县人民政府门户网站,是
2020-01-30,甘肃省,平凉市,崆峒区,平凉市疾病预防控制中心,平凉市崆峒区柳湖西路558号,平凉市疾病预防控制中心接受爱心捐赠公告,1,1,,1,,1,,,,,,,尚莉霞:13809338958  阎峻:13195878944  完和平:13099332118,"=HYPERLINK(""http://www.pingliang.gov.cn/xwzx/tzgg/202001/t20200130_739266.html"")",提示,是
2020-01-30,甘肃省,平凉市,华亭市,华亭市疾病预防控制中心,华亭市西大街301号,华亭市疾病预防控制中心接受爱心捐赠公告,1,1,,1,,1,,,,,,,崔大伟:18093318706  王丽霞:18093318755,"=HYPERLINK(""http://www.gsht.gov.cn/zwdt/tzgg/202001/t20200130_739365.html"")",提示,是
2020-01-30,甘肃省,天水市,麦积区,天水市麦积区红十字会,麦积区商埠路西29号,联合呼吁接收社会捐赠的公告,1,1,,1,,1,,1,,,,,张丰娟:15095724836  崔亮:18294277007  王军:13893855955,"=HYPERLINK(""http://www.maiji.gov.cn/html/news/gsgg/2020-01/26274.html"")",天水市麦积区人民政府,是
2020-01-30,甘肃省,天水市,,天水市红十字会,天水市秦州区岷山路金家庄(市市场监督管理局检验楼办公楼1楼),天水市卫生健康委员会天水市红十字会联合呼吁接收社会捐赠的公告,1,1,1,1,,1,,,,,,,0938-8336036、0938-8612467,"=HYPERLINK(""http://www.tianshui.gov.cn/art/2020/1/30/art_352_238891.html"")",天水市人民政府,是
2020-01-30,湖南省,衡阳市,衡南县,衡南县慈善总会,衡南县云集镇清泉路99号县民政局二楼203室,衡南县党政门户网-公示公告,1,1,1,1,,1,1,1,1,,,,0734-8982405,"=HYPERLINK(""http://www.hengnan.gov.cn/zwgk/gsgg/202001/t20200130_3002843.html"")",衡南县党政门户网,是
2020-01-30,湖南省,湘潭市,岳塘区,中共湘潭市委新型冠状病毒感染的肺炎疫情防控工作领导小组办公室,湘潭市卫生健康委员会603、605室（湘潭市岳塘区霞光中路28号）,关于接受社会各界捐赠的通告（第4号）-湘乡市新闻网,1,1,,1,,,,,,,,,0731-5855526,"=HYPERLINK(""http://xiangxiang-xhncloud.voc.com.cn/content/306920"")",xiangxiang-xhncloud.voc.com.cn,否
2020-01-30,湖南省,怀化市,沅陵县,沅陵县慈善会,沅陵县民政局办公楼四楼4002室,沅陵县关于新型冠状病毒感染的肺炎疫情防控接受社会捐赠款物的公告,1,1,,1,,1,,,,,1,,0745-4224499,"=HYPERLINK(""http://www.yuanling.gov.cn/yuanling/c108850/202001/0731d35eabe340468cfddce4cc1a5895.shtml"")",沅陵县人民政府,是
2020-01-30,湖南省,张家界市,永定区,张家界市红十字会,张家界市永定区古庸路,张家界市红十字会 关于接受新型冠状病毒感染的肺炎疫情 防控所需款物社会捐赠的公告,1,,,1,,1,,,,,,,手机:18974473808,"=HYPERLINK(""http://www.zjj.gov.cn/c37/20200130/i529127.html?from=timeline&isappinstalled=0"")",张家界市政府门户网站 | 张家界政府公众信息网,是
2020-01-30,湖南省,张家界市,慈利县,慈利县红十字会,慈利县人民广场全民健身大楼9楼,慈利县红十字会关于接受新型冠状病毒感染的肺炎疫情防控捐赠款物的公告,1,1,1,1,,1,,1,,,,,褚开峰:15107447799,"=HYPERLINK(""http://cili.zjj.gov.cn/c3378/20200130/i529163.html"")",首页-慈利人民政府,是
2020-01-30,湖南省,岳阳市,临湘市,临湘市红十字会,临湘市疾病预防控制中心2楼后勤保障办公室（临湘市园艺路15号）,临湘市红十字会 关于抗击新型冠状病毒疫情接受社会 捐赠的公告,1,1,,1,,1,,,1,,,,陈东湖:18974051888  李群华:13974035273,"=HYPERLINK(""http://www.yueyang.gov.cn/lxzfw/24726/24727/content_1654021.html"")",,是
2020-01-30,湖北省,宜昌市,,宜昌市新型冠状病毒感染肺炎疫情防控指挥部,宜昌市新型冠状病毒感染肺炎疫情防控指挥部,宜昌市新型冠状病毒感染肺炎疫情防控指挥部关于明确疫情防控捐赠渠道的通告 - 通知公告 - 宜昌市卫生健康委员会,1,,,1,,1,,1,,,,,彭维:13545703467  陶飞升:18571037787  张勇:18062998896  陈燕:18995899699  姚程:13487236847,"=HYPERLINK(""http://wjw.yichang.gov.cn/content-41531-962823-1.html"")",宜昌市卫生健康委员会,是
2020-01-30,浙江省,舟山市,定海区,定海区新型冠状病毒感染的肺炎疫情防控工作领导小组办公室,定海区慈善总会（定海区昌国路61号）,定海区防控新型冠状病毒肺炎疫情接受社会捐赠公告,1,,,1,1,1,,1,1,,,,波:13706806210  红:13705809996、13868237722,"=HYPERLINK(""http://dhnews.zjol.com.cn/jinridinghai/gonggaotongzhi/202001/t20200130_1232069.shtml"")",定海新闻网,否
2020-01-30,河北省,秦皇岛市,卢龙县,18633535697,18633535697,卢龙县慈善协会疫情防控慈善募捐呼吁书---卢龙县人民政府,1,,,1,,1,,1,,,,,0335-7139812,"=HYPERLINK(""http://www.lulong.gov.cn/front/thipage.do?uuid=BCE3A5BA0425B547355057E2E3CE751B"")",卢龙县人民政府,是
2020-01-30,河北省,沧州市,献县,献县新型冠状病毒感染的肺炎疫情防控工作领导小组,献县新型冠状病毒感染的肺炎疫情防控工作领导小组,献县为应对疫情接受社会捐赠的公告,1,1,,1,1,,,1,,,1,,江手机:13833770699,"=HYPERLINK(""http://www.thepaper.cn/newsDetail_forward_5698898"")",澎湃新闻-专注时政与思想-ThePaper.cn,否
2020-01-30,河北省,沧州市,海兴县,海兴县新型冠状病毒感染的肺炎防控工作领导小组,海兴县卫健局一楼海兴县红十字会,公告公示-中国.海兴县人民政府,1,1,,1,,1,,,,,1,1,0317-6611019,"=HYPERLINK(""http://www.haixing.gov.cn/article.asp?ID=12245"")",中国.海兴县人民政府,是
2020-01-30,河北省,张家口市,,张家口市第一医院,张家口市第一医院,新消息！张家口市第一医院接受社会捐赠公告,1,1,1,1,,,1,1,1,,,,"院
人:18603238823  主任）:13730302513","=HYPERLINK(""https://zhangjiakou.news.fang.com/2020-01-30/34644302.htm"")",zhangjiakou.news.fang.com,否
2020-01-30,江西省,南昌市,,南昌市新建区中医医院,江西省南昌市新建区花果山路161号,【紧急求助】南昌市新建区中医医院接受社会爱心捐赠公告,1,1,,1,,1,,,1,,1,,聂科长:13970993003,"=HYPERLINK(""http://www.xinjian.gov.cn/Item/109283.aspx"")",新建区人民政府,是
2020-01-30,江苏省,盐城市,,盐城市第三人民医院,盐城市第三人民医院,盐城市第三人民医院接受社会捐赠公告,1,1,,1,,1,,1,1,,,,岳峰:15189200858  顾军生:15189200865  孙加权:15189200800,"=HYPERLINK(""http://www.jsycsy.com/News/Detail.asp?nid=3270"")",盐城市第三人民医院,否
2020-01-30,江苏省,南通市,,南通市新型冠状病毒感染的肺炎疫情防控指挥部接受爱心捐赠公告,南通市新型冠状病毒感染的肺炎疫情防控指挥部接受爱心捐赠公告,南通市新型冠状病毒感染的肺炎疫情防控指挥部接受爱心捐赠公告,1,1,1,1,,1,1,1,,,,,罗老师:13809086355  柯老师:15862826108,"=HYPERLINK(""http://www.zgnt.net/content/2020-01/30/content_3002282.htm"")",南通网-南通新闻－资讯－生活首选门户,否
2020-01-30,广东省,深圳市,,深圳市坪山区卫生健康局,深圳市坪山区龙田街道坪山大道5068号区政府第二办公楼二楼,通知公告-坪山区人民政府,1,1,,1,1,1,,1,1,,,,0755-2839805,"=HYPERLINK(""http://www.szpsq.gov.cn/xxgk/qt/tzgg/202001/t20200130_18993433.htm"")",坪山区人民政府,是
2020-01-30,山西省,运城市,夏县,13133196725,夏县东风西街人民政府5楼509室联系电话,关于加强新型冠状病毒感染的肺炎疫情防控接受爱心捐赠的公告,1,,,1,1,1,,1,1,,,,0359-8531006,"=HYPERLINK(""http://www.sxxiaxian.gov.cn/N20200130170552.html"")",夏县人民政府门户网站,是
2020-01-30,山西省,晋城市,沁水县,沁水县慈善总会,沁水县新建西街1759号,关于动员慈善力量依法有序参与新型冠状病毒感染的肺炎疫情防控专项募捐_公示公告_政务公开_沁水县人民政府,1,,,1,,,,,1,,,,郭豆豆:18636489886  裴敏:18735640821  柴元芳:13233338269,"=HYPERLINK(""http://www.qinshui.gov.cn/zwgk/gsgg/content_10550"")",沁水县人民政府,是
2020-01-30,山东省,淄博市,张店区,工作领导小组办公室,张店区联通路126号淄博市红十字会505室,淄博市人民政府 新型冠状病毒感染的肺炎疫情防控专栏 淄博市新型冠状病毒感染的肺炎疫情处置工作领导小组接受社会捐赠款物的通告,1,1,,1,,1,1,1,1,1,,,孔军:18560297717,"=HYPERLINK(""http://www.zibo.gov.cn/art/2020/1/30/art_13530_1879920.html"")",淄博市人民政府,是
2020-01-30,山东省,泰安市,,泰安市红十字会,泰安市红十字会,泰安市红十字会关于开展“抗击新型冠状病毒感染肺炎疫情”接受社会捐赠的公告,1,,,1,,1,,1,,,,,0538-6992606,"=HYPERLINK(""http://www.taian.gov.cn/art/2020/1/30/art_46736_8761210.html"")",泰安市人民政府,是
2020-01-30,山东省,日照市,,工作领导小组（指挥部）办公室,日照市威海路69号日照市慈善总会财务部咨询电话,日照市新型冠状病毒感染的肺炎疫情防控处置工作领导小组(指挥部)接受社会捐赠款物的公告_日照民生_日照_齐鲁网,1,1,,1,,1,1,1,1,1,,,0633-7980392、0633-8251084、0633-8802268,"=HYPERLINK(""http://rizhao.iqilu.com/rzminsheng/2020/0131/4430006.shtml"")",日照齐鲁网_日照新闻 日照论坛 日照第一新闻门户 齐鲁网日照频道 日照信息 日照人才 日照政务,否
2020-01-30,山东省,德州市,德城区,山东德州运河经济开发区管委会,山东省德州市德城区旭升街16号,德州运河经济开发区管委会：关于接受疫情防控物资爱心捐赠的公告,1,,1,1,1,1,,,,,1,1,张弘弢:13805343820  王庆银:15910076572,"=HYPERLINK(""http://www.dezhoudaily.com/xsq/p/1490879.html"")","德州新闻网 - 权威媒体 德州门户 德州日报,德州晚报,兴德论坛,德州论坛",否
2020-01-30,山东省,东营市,广饶县,广饶县慈善总会广饶县红十字会关于防控新型冠状病毒感染的肺炎疫情接收社会捐赠公告,广饶县慈善总会广饶县红十字会关于防控新型冠状病毒感染的肺炎疫情接收社会捐赠公告,广饶县红十字会关于防控新型冠状病毒感染的肺炎疫情接收社会捐赠公告,1,1,1,1,,1,,1,,,1,,0546-6442058、0546-6457870,"=HYPERLINK(""http://www.guangrao.gov.cn/art/2020/1/30/art_39943_8761959.html"")",广饶县人民政府,是
2020-01-30,安徽省,淮南市,潘集区,淮南市潘集区慈善协会,潘集政务新区民生大厦五楼507房间,潘集区慈善协会关于开展社会捐赠的公告_潘集区人民政府,,,,,,,,,,,,,李信阳:13329283205  陶多帅:13855409688,"=HYPERLINK(""http://www.panji.gov.cn/pjzx/tzgg/8160528.html"")",潘集区人民政府,是
2020-01-30,安徽省,宣城市,,宣城市红十字会,宣城市鳌峰中路48号,宣城市红十字会接收社会捐赠公告,1,1,,1,,1,,1,,,1,,卢青红:15956350829  胡秀梅:15956279865,"=HYPERLINK(""http://www.zgxcsw.gov.cn/content/detail/5e324b265d6dc761f5efb9ea.html"")",中国共产党宣城市委员会,是
2020-01-30,安徽省,安庆市,岳西县,岳西县民政局,岳西县民政局救助管理站(地址,岳西县民政局接受社会捐赠公告,,,,,,,,,,,,,王造林:13865136116,"=HYPERLINK(""http://ahyx.gov.cn/html/news/sz/sz/2020/01/398168.html"")",,是
2020-01-30,安徽省,合肥市,庐江县,庐江县慈善协会,庐江县慈善协会,庐江县慈善协会接受抗击新型冠状病毒感染的肺炎疫情捐赠的公告,1,1,1,1,,1,1,1,1,,,,卢剑峰:13856536259  胡小燕:15056567351  朱根元:13965447386,"=HYPERLINK(""http://www.lj.gov.cn/zwdt/gsgg/119792641.html"")",庐江县人民政府,是
2020-01-30,四川省,阿坝藏族羌族自治州,黑水县,黑水县红十字会,黑水县芦花镇正街商品楼二楼,黑水县红十字会关于共同抗击新型冠状病毒感染的肺炎疫情接受社会捐赠的公告,1,1,1,1,,1,,,1,,,,0837-6721969,"=HYPERLINK(""http://www.heishui.gov.cn/hsxrmzf/c100053/202001/781a82c943ba49d781faccd0cdad4039.shtml"")",黑水县人民政府,是
2020-01-30,四川省,资阳市,,决战在没有硝烟的战场,资阳市市政府大楼2号楼1309室,资阳市红十字会关于接受抗击新型冠状病毒感染肺炎爱心捐赠的公告,1,1,1,1,,1,1,1,,,1,,聂老师:18080565783  周老师:18090392313  张老师:18160159005,"=HYPERLINK(""http://www.zyrb.com.cn/folder17/folder18/folder32/2020-01-31/GZB2zKnH0ge9MTrH.html"")",资阳网,否
2020-01-30,四川省,自贡市,荣县,荣县红十字会,荣县健康路266号荣县红十字会(荣县卫生健康局209室),荣县红十字会接受社会爱心捐赠公告,1,1,,1,,1,,,1,,,,李吉根:15700660618,"=HYPERLINK(""http://zg.newssc.org/system/20200130/002843606.html"")",提示,否
2020-01-30,四川省,广元市,朝天区,广元市朝天区红十字会,朝天区朝天镇军师街贵商银行5楼,关于接受新型冠状病毒感染肺炎疫情防控社会捐赠的公告,1,1,1,1,,1,,,1,,1,,0839-8622122,"=HYPERLINK(""http://www.gyct.gov.cn/info/1018/114800.htm"")",朝天区人民政府,是
2020-01-30,四川省,凉山彝族自治州,会东县,会东县红十字会,凉山州会东县鲹鱼河镇满银路西段89号(县卫生健康局红十字会),会东县红十字会关于新型冠状病毒感染肺炎疫情防控接受社会捐赠的公告,1,1,1,1,,1,1,1,,,1,,郑国勇:13989254949,"=HYPERLINK(""http://www.lidecw.com/xxgk/tzgg_18827/zwgg/202001/t20200130_1458602.html"")",澳冠即时比分-澳冠专业体育平台,否
2020-01-30,四川省,内江市,市中区,内江市第一人民医院,四川省内江市市中区汉安大道西段1866号,内江市第一人民医院接受社会捐赠公告,1,1,1,1,,1,,1,1,,,,张老师:13568040766  范老师:13438668286  代老师:18686206886,"=HYPERLINK(""http://www.njyy.com.cn/News_Show.php?theId=1839"")",内江市第一人民医院,否
2020-01-30,吉林省,,,吉林省民政厅,吉林省民政厅,吉林省民政厅关于动员慈善组织等社会力量依法有序参与新型冠状病毒感染的肺炎疫情防控工作的公告,1,,,1,,1,,1,,,,,綦殿学:13756022788,"=HYPERLINK(""http://www.jl.gov.cn/szfzt/jlzxd/tzgg/202001/t20200130_6655927.html"")",www.jl.gov.cn,是
2020-01-30,吉林省,,,吉林省民政厅,吉林省民政厅,吉林省民政厅 > 信息公开 > 通知公告,1,,,1,,1,,1,,,,,綦殿学:13756022788,"=HYPERLINK(""http://mzt.jl.gov.cn/xxgk_2643/tzgg/202001/t20200130_6655912.html"")",吉林省民政厅,是
2020-01-30,内蒙古自治区,呼伦贝尔市,海拉尔区,防控工作指挥部,呼伦贝尔市海拉尔区红十字会（海拉尔区东山党政综合办公楼934室）,呼伦贝尔市海拉尔区人民政府,1,1,,1,1,1,,1,,1,1,,手机号:15849026800、15947403233,"=HYPERLINK(""http://www.hailar.gov.cn/content/detail/5e32b9447f8b9a9a7446183b.html"")",呼伦贝尔市海拉尔区人民政府,是
2020-01-30,云南省,昆明市,寻甸回族彝族自治县,寻甸回族彝族自治县慈善协会,云南省昆明市寻甸回族彝族自治县仁德街道文苑路35号,关于开展“抗击新型冠状病毒感染的肺炎疫情”募捐的倡议书_寻甸回族彝族自治县人民政府_公示公告,1,1,,1,,,,1,,,1,,孙先生:13608877000  杨先生:13888951685  朱先生:15911534445,"=HYPERLINK(""http://xd.km.gov.cn/c/2020-01-30/3921731.shtml"")",寻甸回族彝族自治县人民政府,是
2020-01-30,云南省,昆明市,官渡区,目前共确诊11例,云南省昆明市官渡区国贸路309号政通大厦,云南省红十字会发布公告 接受境外捐赠款物用于防控新冠肺炎疫情-一点关注,1,1,1,1,,1,1,1,,,1,,0871-6433353、0871-6719222、0871-6832009、871-6830333、871-6835123,"=HYPERLINK(""http://www.i-km.com.cn/art-132008.html"")",都市时报,否
2020-01-30,,,,阿坝州红十字会,和方式,阿坝州红十字会接受社会捐赠的公告,1,1,,1,,1,,1,,,,,高秀全:13518438838,"=HYPERLINK(""http://www.abazhou.gov.cn/abazhou/c101955/202001/2cd3aed707cd4bf2866471e04587a2a5.shtml"")",阿坝藏族羌族自治州人民政府,是
